"Date","Country","RefRoute","Count","WithinTarget","OutsideTarget","PercentWithinTarget","Standard","StandardHit","AdditionalPatients","TargetLastMet","rank"
Mar 2019,"England","Consultant Upgrade",3192,2716,"476",0.850877192982456,NA,NA,NA,NA,NA
Mar 2019,"England","Screening",1607,1438,"169",0.894835096453018,NA,NA,NA,NA,NA
Mar 2019,"England","Urgent Suspected Cancer",13276,10583,"2693",0.797152756854474,0.85,"was NOT met",701.599999999999,"Dec 2015","73rd"
Apr 2019,"England","ALL ROUTES",18489,15014,"3475",0.812050408350911,NA,NA,NA,NA,NA
Apr 2019,"England","Consultant Upgrade",3172,2665,"507",0.840163934426229,NA,NA,NA,NA,NA
Apr 2019,"England","Screening",1798,1613,"185",0.897107897664071,NA,NA,NA,NA,NA
Apr 2019,"England","Urgent Suspected Cancer",13519,10736,"2783",0.794141578519121,0.85,"was NOT met",755.149999999999,"Dec 2015","70th"
May 2019,"England","ALL ROUTES",19054,15138,"3916",0.794478849585389,NA,NA,NA,NA,NA
May 2019,"England","Consultant Upgrade",3253,2705,"548",0.831540116815247,NA,NA,NA,NA,NA
May 2019,"England","Screening",1803,1577,"226",0.87465335551858,NA,NA,NA,NA,NA
May 2019,"England","Urgent Suspected Cancer",13998,10856,"3142",0.775539362766109,0.85,"was NOT met",1042.3,"Dec 2015","58th"
Jun 2019,"England","ALL ROUTES",18042,14128,"3914",0.783061744817648,NA,NA,NA,NA,NA
Jun 2019,"England","Consultant Upgrade",3005,2443,"562",0.812978369384359,NA,NA,NA,NA,NA
Jun 2019,"England","Screening",1713,1458,"255",0.851138353765324,NA,NA,NA,NA,NA
Jun 2019,"England","Urgent Suspected Cancer",13324,10227,"3097",0.767562293605524,0.85,"was NOT met",1098.4,"Dec 2015","54th"
Jul 2019,"England","ALL ROUTES",20461,16284,"4177",0.795855530032745,NA,NA,NA,NA,NA
Jul 2019,"England","Consultant Upgrade",3641,3048,"593",0.837132655863774,NA,NA,NA,NA,NA
Jul 2019,"England","Screening",1890,1621,"269",0.857671957671958,NA,NA,NA,NA,NA
Jul 2019,"England","Urgent Suspected Cancer",14930,11615,"3315",0.777963831212324,0.85,"was NOT met",1075.5,"Dec 2015","59th"
Aug 2019,"England","ALL ROUTES",18723,15052,"3671",0.803930993964642,NA,NA,NA,NA,NA
Aug 2019,"England","Consultant Upgrade",3297,2749,"548",0.833788292387018,NA,NA,NA,NA,NA
Aug 2019,"England","Screening",1775,1560,"215",0.87887323943662,NA,NA,NA,NA,NA
Aug 2019,"England","Urgent Suspected Cancer",13651,10743,"2908",0.786975313163871,0.85,"was NOT met",860.349999999999,"Dec 2015","66th"
Sep 2019,"England","ALL ROUTES",18728,14750,"3978",0.787590773173857,NA,NA,NA,NA,NA
Sep 2019,"England","Consultant Upgrade",3283,2669,"614",0.812975936643314,NA,NA,NA,NA,NA
Sep 2019,"England","Screening",1864,1621,"243",0.869635193133047,NA,NA,NA,NA,NA
Sep 2019,"England","Urgent Suspected Cancer",13581,10460,"3121",0.77019365289743,0.85,"was NOT met",1083.85,"Dec 2015","55th"
Oct 2019,"England","ALL ROUTES",20511,16149,"4362",0.787333625859295,NA,NA,NA,NA,NA
Oct 2019,"England","Consultant Upgrade",3566,2939,"627",0.824172742568704,NA,NA,NA,NA,NA
Oct 2019,"England","Screening",2010,1674,"336",0.832835820895522,NA,NA,NA,NA,NA
Oct 2019,"England","Urgent Suspected Cancer",14935,11536,"3399",0.772413793103448,0.85,"was NOT met",1158.75,"Dec 2015","56th"
Nov 2019,"England","ALL ROUTES",19002,15001,"4001",0.789443216503526,NA,NA,NA,NA,NA
Nov 2019,"England","Consultant Upgrade",3381,2769,"612",0.818988464951198,NA,NA,NA,NA,NA
Nov 2019,"England","Screening",1885,1581,"304",0.838726790450928,NA,NA,NA,NA,NA
Nov 2019,"England","Urgent Suspected Cancer",13736,10651,"3085",0.775407687827606,0.85,"was NOT met",1024.6,"Dec 2015","57th"
Dec 2019,"England","ALL ROUTES",17976,14319,"3657",0.796562082777036,NA,NA,NA,NA,NA
Dec 2019,"England","Consultant Upgrade",3166,2624,"542",0.828806064434618,NA,NA,NA,NA,NA
Dec 2019,"England","Screening",1803,1533,"270",0.850249584026622,NA,NA,NA,NA,NA
Dec 2019,"England","Urgent Suspected Cancer",13007,10162,"2845",0.781271622972246,0.85,"was NOT met",893.95,"Dec 2015","61st"
Jan 2020,"England","ALL ROUTES",20024,15125,"4899",0.755343587694766,NA,NA,NA,NA,NA
Jan 2020,"England","Consultant Upgrade",3834,3097,"737",0.807772561293688,NA,NA,NA,NA,NA
Jan 2020,"England","Screening",2057,1622,"435",0.78852698104035,NA,NA,NA,NA,NA
Jan 2020,"England","Urgent Suspected Cancer",14133,10406,"3727",0.736290950258261,0.85,"was NOT met",1607.05,"Dec 2015","42nd"
Feb 2020,"England","ALL ROUTES",17740,13356,"4384",0.752874859075536,NA,NA,NA,NA,NA
Feb 2020,"England","Consultant Upgrade",3368,2685,"683",0.797209026128266,NA,NA,NA,NA,NA
Feb 2020,"England","Screening",1612,1227,"385",0.761166253101737,NA,NA,NA,NA,NA
Feb 2020,"England","Urgent Suspected Cancer",12760,9444,"3316",0.74012539184953,0.85,"was NOT met",1402,"Dec 2015","44th"
Mar 2020,"England","ALL ROUTES",21567,17290,"4277",0.80168776371308,NA,NA,NA,NA,NA
Mar 2020,"England","Consultant Upgrade",3743,3108,"635",0.830349986641731,NA,NA,NA,NA,NA
Mar 2020,"England","Screening",2297,1948,"349",0.848062690465825,NA,NA,NA,NA,NA
Mar 2020,"England","Urgent Suspected Cancer",15527,12234,"3293",0.787917820570619,0.85,"was NOT met",963.95,"Dec 2015","67th"
Apr 2020,"England","ALL ROUTES",15264,11643,"3621",0.762775157232704,NA,NA,NA,NA,NA
Apr 2020,"England","Consultant Upgrade",2888,2342,"546",0.810941828254848,NA,NA,NA,NA,NA
Apr 2020,"England","Screening",1383,1124,"259",0.812725958062184,NA,NA,NA,NA,NA
Apr 2020,"England","Urgent Suspected Cancer",10993,8177,"2816",0.743836987173656,0.85,"was NOT met",1167.05,"Dec 2015","47th"
May 2020,"England","ALL ROUTES",11919,8437,"3482",0.707861397768269,NA,NA,NA,NA,NA
May 2020,"England","Consultant Upgrade",2701,2113,"588",0.782302850796001,NA,NA,NA,NA,NA
May 2020,"England","Screening",564,270,"294",0.478723404255319,NA,NA,NA,NA,NA
May 2020,"England","Urgent Suspected Cancer",8654,6054,"2600",0.69956089669517,0.85,"was NOT met",1301.9,"Dec 2015","36th"
Jun 2020,"England","ALL ROUTES",13357,10042,"3315",0.751815527438796,NA,NA,NA,NA,NA
Jun 2020,"England","Consultant Upgrade",2981,2453,"528",0.822878228782288,NA,NA,NA,NA,NA
Jun 2020,"England","Screening",377,50,"327",0.13262599469496,NA,NA,NA,NA,NA
Jun 2020,"England","Urgent Suspected Cancer",9999,7539,"2460",0.753975397539754,0.85,"was NOT met",960.15,"Dec 2015","49th"
Jul 2020,"England","ALL ROUTES",15524,12251,"3273",0.789165163617624,NA,NA,NA,NA,NA
Jul 2020,"England","Consultant Upgrade",3304,2821,"483",0.853813559322034,NA,NA,NA,NA,NA
Jul 2020,"England","Screening",323,84,"239",0.260061919504644,NA,NA,NA,NA,NA
Jul 2020,"England","Urgent Suspected Cancer",11897,9346,"2551",0.785576195679583,0.85,"was NOT met",766.45,"Dec 2015","65th"
Aug 2020,"England","ALL ROUTES",14670,11629,"3041",0.792706203135651,NA,NA,NA,NA,NA
Aug 2020,"England","Consultant Upgrade",2990,2594,"396",0.867558528428094,NA,NA,NA,NA,NA
Aug 2020,"England","Screening",324,181,"143",0.558641975308642,NA,NA,NA,NA,NA
Aug 2020,"England","Urgent Suspected Cancer",11356,8854,"2502",0.779675942233181,0.85,"was NOT met",798.6,"Dec 2015","60th"
Sep 2020,"England","ALL ROUTES",18113,13889,"4224",0.766797327886049,NA,NA,NA,NA,NA
Sep 2020,"England","Consultant Upgrade",3608,3033,"575",0.840631929046563,NA,NA,NA,NA,NA
Sep 2020,"England","Screening",728,614,"114",0.843406593406593,NA,NA,NA,NA,NA
Sep 2020,"England","Urgent Suspected Cancer",13777,10242,"3535",0.743412934601147,0.85,"was NOT met",1468.45,"Dec 2015","45th"
Oct 2020,"England","ALL ROUTES",18833,14438,"4395",0.766633037752881,NA,NA,NA,NA,NA
Oct 2020,"England","Consultant Upgrade",3765,3119,"646",0.828419654714475,NA,NA,NA,NA,NA
Oct 2020,"England","Screening",1078,917,"161",0.850649350649351,NA,NA,NA,NA,NA
Oct 2020,"England","Urgent Suspected Cancer",13990,10402,"3588",0.743531093638313,0.85,"was NOT met",1489.5,"Dec 2015","46th"
Nov 2020,"England","ALL ROUTES",18788,14643,"4145",0.779380455609964,NA,NA,NA,NA,NA
Nov 2020,"England","Consultant Upgrade",3685,3064,"621",0.831478968792402,NA,NA,NA,NA,NA
Nov 2020,"England","Screening",1356,1194,"162",0.880530973451327,NA,NA,NA,NA,NA
Nov 2020,"England","Urgent Suspected Cancer",13747,10385,"3362",0.755437550010912,0.85,"was NOT met",1299.95,"Dec 2015","51st"
Dec 2020,"England","ALL ROUTES",19329,14983,"4346",0.775156500594961,NA,NA,NA,NA,NA
Dec 2020,"England","Consultant Upgrade",3624,3028,"596",0.835540838852097,NA,NA,NA,NA,NA
