"Date","Country","Factor","RefRoute","Count","WithinTarget","OutsideTarget","PercentWithinTarget","Standard","StandardHit","AdditionalPatients","TargetLastMet","rank"
Oct 2011,"England","Breast","Urgent Suspected Cancer",1587,1554,"33",0.979206049149338,0.85,"was met",0,"Sep 2011","169th"
Nov 2011,"England","Breast","Urgent Suspected Cancer",1772,1739,"33",0.9813769751693,0.85,"was met",0,"Oct 2011","173rd"
Dec 2011,"England","Breast","Urgent Suspected Cancer",1560,1529,"31",0.980128205128205,0.85,"was met",0,"Nov 2011","172nd"
Jan 2012,"England","Breast","Urgent Suspected Cancer",1526,1481,"45",0.970511140235911,0.85,"was met",0,"Dec 2011","138th"
Feb 2012,"England","Breast","Urgent Suspected Cancer",1629,1596,"33",0.979742173112339,0.85,"was met",0,"Jan 2012","170th"
Mar 2012,"England","Breast","Urgent Suspected Cancer",1669,1638,"31",0.981426003594967,0.85,"was met",0,"Feb 2012","174th"
Apr 2012,"England","Breast","Urgent Suspected Cancer",1533,1506,"27",0.98238747553816,0.85,"was met",0,"Mar 2012","179th"
May 2012,"England","Breast","Urgent Suspected Cancer",1900,1856,"44",0.976842105263158,0.85,"was met",0,"Apr 2012","163rd"
Jun 2012,"England","Breast","Urgent Suspected Cancer",1621,1591,"30",0.981492905613819,0.85,"was met",0,"May 2012","175th"
Jul 2012,"England","Breast","Urgent Suspected Cancer",1808,1765,"43",0.976216814159292,0.85,"was met",0,"Jun 2012","159th"
Aug 2012,"England","Breast","Urgent Suspected Cancer",1817,1776,"41",0.977435332966428,0.85,"was met",0,"Jul 2012","165th"
Sep 2012,"England","Breast","Urgent Suspected Cancer",1586,1558,"28",0.98234552332913,0.85,"was met",0,"Aug 2012","178th"
Oct 2012,"England","Breast","Urgent Suspected Cancer",1866,1824,"42",0.977491961414791,0.85,"was met",0,"Sep 2012","166th"
Nov 2012,"England","Breast","Urgent Suspected Cancer",1765,1724,"41",0.976770538243626,0.85,"was met",0,"Oct 2012","162nd"
Dec 2012,"England","Breast","Urgent Suspected Cancer",1569,1522,"47",0.970044614404079,0.85,"was met",0,"Nov 2012","136th"
Jan 2013,"England","Breast","Urgent Suspected Cancer",1639,1595,"44",0.973154362416107,0.85,"was met",0,"Dec 2012","148th"
Feb 2013,"England","Breast","Urgent Suspected Cancer",1621,1569,"52",0.967921036397286,0.85,"was met",0,"Jan 2013","132nd"
Mar 2013,"England","Breast","Urgent Suspected Cancer",1694,1663,"31",0.981700118063754,0.85,"was met",0,"Feb 2013","176th"
Apr 2013,"England","Breast","Urgent Suspected Cancer",1748,1705,"43",0.975400457665904,0.85,"was met",0,"Mar 2013","155th"
May 2013,"England","Breast","Urgent Suspected Cancer",1788,1726,"62",0.965324384787472,0.85,"was met",0,"Apr 2013","127th"
Jun 2013,"England","Breast","Urgent Suspected Cancer",1705,1644,"61",0.964222873900293,0.85,"was met",0,"May 2013","122nd"
Jul 2013,"England","Breast","Urgent Suspected Cancer",1948,1897,"51",0.973819301848049,0.85,"was met",0,"Jun 2013","149th"
Aug 2013,"England","Breast","Urgent Suspected Cancer",1789,1743,"46",0.974287311347121,0.85,"was met",0,"Jul 2013","152nd"
Sep 2013,"England","Breast","Urgent Suspected Cancer",1710,1662,"48",0.971929824561404,0.85,"was met",0,"Aug 2013","142nd"
Oct 2013,"England","Breast","Urgent Suspected Cancer",1915,1859,"56",0.970757180156658,0.85,"was met",0,"Sep 2013","139th"
Nov 2013,"England","Breast","Urgent Suspected Cancer",1697,1638,"59",0.965232763700648,0.85,"was met",0,"Oct 2013","126th"
Dec 2013,"England","Breast","Urgent Suspected Cancer",1624,1584,"40",0.975369458128079,0.85,"was met",0,"Nov 2013","154th"
Jan 2014,"England","Breast","Urgent Suspected Cancer",1705,1644,"61",0.964222873900293,0.85,"was met",0,"Dec 2013","122nd"
Feb 2014,"England","Breast","Urgent Suspected Cancer",1607,1556,"51",0.968263845675171,0.85,"was met",0,"Jan 2014","134th"
Mar 2014,"England","Breast","Urgent Suspected Cancer",1768,1708,"60",0.96606334841629,0.85,"was met",0,"Feb 2014","129th"
Apr 2014,"England","Breast","Urgent Suspected Cancer",1989,1941,"48",0.975867269984917,0.85,"was met",0,"Mar 2014","157th"
May 2014,"England","Breast","Urgent Suspected Cancer",1881,1784,"97",0.948431685273791,0.85,"was met",0,"Apr 2014","98th"
Jun 2014,"England","Breast","Urgent Suspected Cancer",1762,1675,"87",0.950624290578888,0.85,"was met",0,"May 2014","103rd"
Jul 2014,"England","Breast","Urgent Suspected Cancer",2053,1958,"95",0.953726254262055,0.85,"was met",0,"Jun 2014","110th"
Aug 2014,"England","Breast","Urgent Suspected Cancer",1746,1662,"84",0.951890034364261,0.85,"was met",0,"Jul 2014","106th"
Sep 2014,"England","Breast","Urgent Suspected Cancer",1886,1790,"96",0.949098621420997,0.85,"was met",0,"Aug 2014","100th"
Oct 2014,"England","Breast","Urgent Suspected Cancer",1864,1779,"85",0.954399141630901,0.85,"was met",0,"Sep 2014","111th"
Nov 2014,"England","Breast","Urgent Suspected Cancer",1716,1674,"42",0.975524475524476,0.85,"was met",0,"Oct 2014","156th"
Dec 2014,"England","Breast","Urgent Suspected Cancer",1829,1762,"67",0.963367960634226,0.85,"was met",0,"Nov 2014","121st"
Jan 2015,"England","Breast","Urgent Suspected Cancer",1710,1626,"84",0.950877192982456,0.85,"was met",0,"Dec 2014","104th"
Feb 2015,"England","Breast","Urgent Suspected Cancer",1634,1573,"61",0.962668298653611,0.85,"was met",0,"Jan 2015","120th"
Mar 2015,"England","Breast","Urgent Suspected Cancer",1869,1818,"51",0.972712680577849,0.85,"was met",0,"Feb 2015","146th"
Apr 2015,"England","Breast","Urgent Suspected Cancer",1786,1734,"52",0.970884658454647,0.85,"was met",0,"Mar 2015","140th"
May 2015,"England","Breast","Urgent Suspected Cancer",1776,1704,"72",0.959459459459459,0.85,"was met",0,"Apr 2015","116th"
Jun 2015,"England","Breast","Urgent Suspected Cancer",1943,1880,"63",0.967575913535769,0.85,"was met",0,"May 2015","131st"
Jul 2015,"England","Breast","Urgent Suspected Cancer",2052,1949,"103",0.949805068226121,0.85,"was met",0,"Jun 2015","102nd"
Aug 2015,"England","Breast","Urgent Suspected Cancer",1814,1745,"69",0.961962513781698,0.85,"was met",0,"Jul 2015","117th"
Sep 2015,"England","Breast","Urgent Suspected Cancer",2102,2002,"100",0.952426260704091,0.85,"was met",0,"Aug 2015","109th"
Oct 2015,"England","Breast","Urgent Suspected Cancer",1921,1816,"105",0.945340968245705,0.85,"was met",0,"Sep 2015","90th"
Nov 2015,"England","Breast","Urgent Suspected Cancer",1819,1717,"102",0.94392523364486,0.85,"was met",0,"Oct 2015","89th"
Dec 2015,"England","Breast","Urgent Suspected Cancer",1727,1666,"61",0.964678633468442,0.85,"was met",0,"Nov 2015","125th"
Jan 2016,"England","Breast","Urgent Suspected Cancer",1636,1544,"92",0.943765281173594,0.85,"was met",0,"Dec 2015","88th"
Feb 2016,"England","Breast","Urgent Suspected Cancer",1744,1649,"95",0.94552752293578,0.85,"was met",0,"Jan 2016","91st"
Mar 2016,"England","Breast","Urgent Suspected Cancer",1747,1681,"66",0.962220950200343,0.85,"was met",0,"Feb 2016","118th"
Apr 2016,"England","Breast","Urgent Suspected Cancer",1859.5,1762.5,"97",0.94783543963431,0.85,"was met",0,"Mar 2016","95th"
May 2016,"England","Breast","Urgent Suspected Cancer",1858,1758,"100",0.946178686759957,0.85,"was met",0,"Apr 2016","92nd"
Jun 2016,"England","Breast","Urgent Suspected Cancer",2027,1928,"99",0.951159348791317,0.85,"was met",0,"May 2016","105th"
Jul 2016,"England","Breast","Urgent Suspected Cancer",1926,1827,"99",0.948598130841122,0.85,"was met",0,"Jun 2016","99th"
Aug 2016,"England","Breast","Urgent Suspected Cancer",1894,1796,"98",0.948257655755016,0.85,"was met",0,"Jul 2016","97th"
Sep 2016,"England","Breast","Urgent Suspected Cancer",1910,1811,"99",0.948167539267016,0.85,"was met",0,"Aug 2016","96th"
Oct 2016,"England","Breast","Urgent Suspected Cancer",1719,1644,"75",0.956369982547993,0.85,"was met",0,"Sep 2016","112th"
Nov 2016,"England","Breast","Urgent Suspected Cancer",1974,1870,"104",0.947315096251266,0.85,"was met",0,"Oct 2016","94th"
Dec 2016,"England","Breast","Urgent Suspected Cancer",1752,1680,"72",0.958904109589041,0.85,"was met",0,"Nov 2016","115th"
Jan 2017,"England","Breast","Urgent Suspected Cancer",1820,1733,"87",0.952197802197802,0.85,"was met",0,"Dec 2016","108th"
Feb 2017,"England","Breast","Urgent Suspected Cancer",1668,1599,"69",0.95863309352518,0.85,"was met",0,"Jan 2017","114th"
Mar 2017,"England","Breast","Urgent Suspected Cancer",2052,1965,"87",0.957602339181287,0.85,"was met",0,"Feb 2017","113th"
Apr 2017,"England","Breast","Urgent Suspected Cancer",1755,1661,"94",0.946438746438746,0.85,"was met",0,"Mar 2017","93rd"
May 2017,"England","Breast","Urgent Suspected Cancer",2003,1867,"136",0.932101847229156,0.85,"was met",0,"Apr 2017","80th"
Jun 2017,"England","Breast","Urgent Suspected Cancer",2083,1932,"151",0.927508401344215,0.85,"was met",0,"May 2017","79th"
Jul 2017,"England","Breast","Urgent Suspected Cancer",1931,1809,"122",0.936820300362507,0.85,"was met",0,"Jun 2017","83rd"
Aug 2017,"England","Breast","Urgent Suspected Cancer",2022,1902,"120",0.940652818991098,0.85,"was met",0,"Jul 2017","86th"
Sep 2017,"England","Breast","Urgent Suspected Cancer",1800,1679,"121",0.932777777777778,0.85,"was met",0,"Aug 2017","81st"
Oct 2017,"England","Breast","Urgent Suspected Cancer",1835,1725,"110",0.940054495912807,0.85,"was met",0,"Sep 2017","85th"
Nov 2017,"England","Breast","Urgent Suspected Cancer",1978,1883,"95",0.951971688574317,0.85,"was met",0,"Oct 2017","107th"
Dec 2017,"England","Breast","Urgent Suspected Cancer",1625,1543,"82",0.949538461538462,0.85,"was met",0,"Nov 2017","101st"
Jan 2018,"England","Breast","Urgent Suspected Cancer",1951,1825,"126",0.935417734495131,0.85,"was met",0,"Dec 2017","82nd"
Feb 2018,"England","Breast","Urgent Suspected Cancer",1659,1513,"146",0.911995177817963,0.85,"was met",0,"Jan 2018","66th"
Mar 2018,"England","Breast","Urgent Suspected Cancer",1873,1763,"110",0.94127068873465,0.85,"was met",0,"Feb 2018","87th"
Apr 2018,"England","Breast","Urgent Suspected Cancer",1940,1823,"117",0.939690721649485,0.85,"was met",0,"Mar 2018","84th"
May 2018,"England","Breast","Urgent Suspected Cancer",2140,1959,"181",0.915420560747664,0.85,"was met",0,"Apr 2018","72nd"
Jun 2018,"England","Breast","Urgent Suspected Cancer",2236,2064,"172",0.923076923076923,0.85,"was met",0,"May 2018","78th"
Jul 2018,"England","Breast","Urgent Suspected Cancer",2185,1997,"188",0.91395881006865,0.85,"was met",0,"Jun 2018","70th"
Aug 2018,"England","Breast","Urgent Suspected Cancer",2159,1978,"181",0.916164891153312,0.85,"was met",0,"Jul 2018","73rd"
Sep 2018,"England","Breast","Urgent Suspected Cancer",1908,1734,"174",0.908805031446541,0.85,"was met",0,"Aug 2018","65th"
Oct 2018,"England","Breast","Urgent Suspected Cancer",1982,1818,"164",0.917255297679112,0.85,"was met",0,"Sep 2018","74th"
Nov 2018,"England","Breast","Urgent Suspected Cancer",2004,1844,"160",0.920159680638723,0.85,"was met",0,"Oct 2018","76th"
Dec 2018,"England","Breast","Urgent Suspected Cancer",1709,1564,"145",0.915155061439438,0.85,"was met",0,"Nov 2018","71st"
Jan 2019,"England","Breast","Urgent Suspected Cancer",2055,1820,"235",0.885644768856448,0.85,"was met",0,"Dec 2018","58th"
Feb 2019,"England","Breast","Urgent Suspected Cancer",1853,1647,"206",0.888828926065839,0.85,"was met",0,"Jan 2019","61st"
Mar 2019,"England","Breast","Urgent Suspected Cancer",2008,1846,"162",0.919322709163347,0.85,"was met",0,"Feb 2019","75th"
Apr 2019,"England","Breast","Urgent Suspected Cancer",2051,1871,"180",0.912237932715748,0.85,"was met",0,"Mar 2019","67th"
May 2019,"England","Breast","Urgent Suspected Cancer",2170,1897,"273",0.874193548387097,0.85,"was met",0,"Apr 2019","55th"
Jun 2019,"England","Breast","Urgent Suspected Cancer",2073,1836,"237",0.885672937771346,0.85,"was met",0,"May 2019","59th"
Jul 2019,"England","Breast","Urgent Suspected Cancer",2231,1981,"250",0.887942626624832,0.85,"was met",0,"Jun 2019","60th"
Aug 2019,"England","Breast","Urgent Suspected Cancer",2127,1892,"235",0.889515749882464,0.85,"was met",0,"Jul 2019","62nd"
Sep 2019,"England","Breast","Urgent Suspected Cancer",2011,1769,"242",0.879661859771258,0.85,"was met",0,"Aug 2019","57th"
Oct 2019,"England","Breast","Urgent Suspected Cancer",2174,1969,"205",0.905703771849126,0.85,"was met",0,"Sep 2019","64th"
Nov 2019,"England","Breast","Urgent Suspected Cancer",2017,1840,"177",0.912245909766981,0.85,"was met",0,"Oct 2019","68th"
Dec 2019,"England","Breast","Urgent Suspected Cancer",1804,1646,"158",0.912416851441242,0.85,"was met",0,"Nov 2019","69th"
Jan 2020,"England","Breast","Urgent Suspected Cancer",1995,1729,"266",0.866666666666667,0.85,"was met",0,"Dec 2019","50th"
Feb 2020,"England","Breast","Urgent Suspected Cancer",1835,1591,"244",0.867029972752044,0.85,"was met",0,"Jan 2020","51st"
Mar 2020,"England","Breast","Urgent Suspected Cancer",2564,2366,"198",0.922776911076443,0.85,"was met",0,"Feb 2020","77th"
Apr 2020,"England","Breast","Urgent Suspected Cancer",1637,1468,"169",0.896762370189371,0.85,"was met",0,"Mar 2020","63rd"
May 2020,"England","Breast","Urgent Suspected Cancer",1275,1110,"165",0.870588235294118,0.85,"was met",0,"Apr 2020","53rd"
Jun 2020,"England","Breast","Urgent Suspected Cancer",1592,1400,"192",0.879396984924623,0.85,"was met",0,"May 2020","56th"
Jul 2020,"England","Breast","Urgent Suspected Cancer",2063,1797,"266",0.871061560833737,0.85,"was met",0,"Jun 2020","54th"
Aug 2020,"England","Breast","Urgent Suspected Cancer",1987,1715,"272",0.863110216406643,0.85,"was met",0,"Jul 2020","49th"
Sep 2020,"England","Breast","Urgent Suspected Cancer",2340,1954,"386",0.835042735042735,0.85,"was NOT met",35.0000000000001,"Aug 2020","46th"
Oct 2020,"England","Breast","Urgent Suspected Cancer",2206,1840,"366",0.834088848594742,0.85,"was NOT met",35.0999999999992,"Aug 2020","45th"
Nov 2020,"England","Breast","Urgent Suspected Cancer",2161,1874,"287",0.867191115224433,0.85,"was met",0,"Aug 2020","52nd"
Dec 2020,"England","Breast","Urgent Suspected Cancer",2372,2008,"364",0.846543001686341,0.85,"was NOT met",8.19999999999909,"Nov 2020","48th"
Jan 2021,"England","Breast","Urgent Suspected Cancer",1964,1567,"397",0.79786150712831,0.85,"was NOT met",102.399999999999,"Nov 2020","40th"
Feb 2021,"England","Breast","Urgent Suspected Cancer",1986,1529,"457",0.769889224572004,0.85,"was NOT met",159.1,"Nov 2020","34th"
Mar 2021,"England","Breast","Urgent Suspected Cancer",2296,1907,"389",0.830574912891986,0.85,"was NOT met",44.6,"Nov 2020","44th"
Apr 2021,"England","Breast","Urgent Suspected Cancer",2060,1733,"327",0.84126213592233,0.85,"was NOT met",18.0000000000001,"Nov 2020","47th"
May 2021,"England","Breast","Urgent Suspected Cancer",2100,1703,"397",0.810952380952381,0.85,"was NOT met",81.9999999999999,"Nov 2020","43rd"
Jun 2021,"England","Breast","Urgent Suspected Cancer",2331,1869,"462",0.801801801801802,0.85,"was NOT met",112.349999999999,"Nov 2020","42nd"
Jul 2021,"England","Breast","Urgent Suspected Cancer",2306,1812,"494",0.785776235906331,0.85,"was NOT met",148.100000000001,"Nov 2020","37th"
Aug 2021,"England","Breast","Urgent Suspected Cancer",2114,1679,"435",0.794228949858089,0.85,"was NOT met",117.9,"Nov 2020","38th"
Sep 2021,"England","Breast","Urgent Suspected Cancer",2402,1866,"536",0.776852622814321,0.85,"was NOT met",175.700000000001,"Nov 2020","36th"
Oct 2021,"England","Breast","Urgent Suspected Cancer",2015,1605,"410",0.796526054590571,0.85,"was NOT met",107.749999999999,"Nov 2020","39th"
Nov 2021,"England","Breast","Urgent Suspected Cancer",2232,1785,"447",0.799731182795699,0.85,"was NOT met",112.2,"Nov 2020","41st"
Dec 2021,"England","Breast","Urgent Suspected Cancer",2143,1573,"570",0.73401773215119,0.85,"was NOT met",248.55,"Nov 2020","28th"
Jan 2022,"England","Breast","Urgent Suspected Cancer",1958,1205,"753",0.615423901940756,0.85,"was NOT met",459.3,"Nov 2020",""
Feb 2022,"England","Breast","Urgent Suspected Cancer",1992,1298,"694",0.651606425702811,0.85,"was NOT met",395.2,"Nov 2020","2nd"
Mar 2022,"England","Breast","Urgent Suspected Cancer",2357,1699,"658",0.720831565549427,0.85,"was NOT met",304.450000000001,"Nov 2020","24th"
Apr 2022,"England","Breast","Urgent Suspected Cancer",2013,1396,"617",0.693492300049677,0.85,"was NOT met",315.05,"Nov 2020","9th"
May 2022,"England","Breast","Urgent Suspected Cancer",2271,1586,"685",0.698370761778952,0.85,"was NOT met",344.35,"Nov 2020","12th"
Jun 2022,"England","Breast","Urgent Suspected Cancer",2198,1532,"666",0.696997270245678,0.85,"was NOT met",336.3,"Nov 2020","10th"
Jul 2022,"England","Breast","Urgent Suspected Cancer",2183,1536,"647",0.703618873110399,0.85,"was NOT met",319.549999999999,"Nov 2020","14th"
Aug 2022,"England","Breast","Urgent Suspected Cancer",2348,1737,"611",0.739778534923339,0.85,"was NOT met",258.8,"Nov 2020","31st"
Sep 2022,"England","Breast","Urgent Suspected Cancer",2353,1676,"677",0.712282192945176,0.85,"was NOT met",324.050000000001,"Nov 2020","18th"
Oct 2022,"England","Breast","Urgent Suspected Cancer",2118,1483,"635",0.700188857412653,0.85,"was NOT met",317.300000000001,"Nov 2020","13th"
Nov 2022,"England","Breast","Urgent Suspected Cancer",2333,1648,"685",0.706386626660952,0.85,"was NOT met",335.049999999999,"Nov 2020","15th"
Dec 2022,"England","Breast","Urgent Suspected Cancer",2039,1516,"523",0.74350171652771,0.85,"was NOT met",217.149999999999,"Nov 2020","32nd"
Jan 2023,"England","Breast","Urgent Suspected Cancer",2012,1364,"648",0.6779324055666,0.85,"was NOT met",346.200000000001,"Nov 2020","5th"
Feb 2023,"England","Breast","Urgent Suspected Cancer",1962,1440,"522",0.73394495412844,0.85,"was NOT met",227.700000000001,"Nov 2020","27th"
Mar 2023,"England","Breast","Urgent Suspected Cancer",2400,1863,"537",0.77625,0.85,"was NOT met",177,"Nov 2020","35th"
Apr 2023,"England","Breast","Urgent Suspected Cancer",1890,1356,"534",0.717460317460317,0.85,"was NOT met",250.500000000001,"Nov 2020","21st"
May 2023,"England","Breast","Urgent Suspected Cancer",2274,1559,"715",0.685576077396658,0.85,"was NOT met",373.9,"Nov 2020","7th"
Jun 2023,"England","Breast","Urgent Suspected Cancer",2412,1710,"702",0.708955223880597,0.85,"was NOT met",340.2,"Nov 2020","16th"
Jul 2023,"England","Breast","Urgent Suspected Cancer",2386,1761,"625",0.738055322715842,0.85,"was NOT met",267.100000000001,"Nov 2020","30th"
Aug 2023,"England","Breast","Urgent Suspected Cancer",2669,1942,"727",0.727613338328962,0.85,"was NOT met",326.65,"Nov 2020","26th"
Sep 2023,"England","Breast","Urgent Suspected Cancer",2438,1608,"830",0.659557013945857,0.85,"was NOT met",464.300000000001,"Nov 2020","3rd"
Oct 2023,"England","Breast","ALL ROUTES",4020,2726,"1294",0.678109452736318,0.85,"was NOT met",691,"Nov 2020","6th"
Oct 2023,"England","Breast","Breast Symptomatic",117,77,"40",0.658119658119658,NA,NA,NA,NA,NA
Oct 2023,"England","Breast","Consultant Upgrade",277,237,"40",0.855595667870036,NA,NA,NA,NA,NA
Oct 2023,"England","Breast","Screening",1315,911,"404",0.69277566539924,NA,NA,NA,NA,NA
Oct 2023,"England","Breast","Urgent Suspected Cancer",2311,1501,"810",0.649502379922112,NA,NA,NA,NA,NA
Nov 2023,"England","Breast","ALL ROUTES",4340,3027,"1313",0.697465437788018,0.85,"was NOT met",662,"Nov 2020","11th"
Nov 2023,"England","Breast","Breast Symptomatic",119,74,"45",0.621848739495798,NA,NA,NA,NA,NA
Nov 2023,"England","Breast","Consultant Upgrade",283,245,"38",0.865724381625442,NA,NA,NA,NA,NA
Nov 2023,"England","Breast","Screening",1482,1052,"430",0.709851551956815,NA,NA,NA,NA,NA
Nov 2023,"England","Breast","Urgent Suspected Cancer",2456,1656,"800",0.674267100977199,NA,NA,NA,NA,NA
Dec 2023,"England","Breast","ALL ROUTES",3663,2618,"1045",0.714714714714715,0.85,"was NOT met",495.55,"Nov 2020","20th"
Dec 2023,"England","Breast","Breast Symptomatic",115,77,"38",0.669565217391304,NA,NA,NA,NA,NA
Dec 2023,"England","Breast","Consultant Upgrade",277,229,"48",0.826714801444043,NA,NA,NA,NA,NA
Dec 2023,"England","Breast","Screening",1250,948,"302",0.7584,NA,NA,NA,NA,NA
Dec 2023,"England","Breast","Urgent Suspected Cancer",2021,1364,"657",0.674913409203365,NA,NA,NA,NA,NA
Jan 2024,"England","Breast","ALL ROUTES",4197,2832,"1365",0.674767691208006,0.85,"was NOT met",735.45,"Nov 2020","4th"
Jan 2024,"England","Breast","Breast Symptomatic",111,71,"40",0.63963963963964,NA,NA,NA,NA,NA
Jan 2024,"England","Breast","Consultant Upgrade",304,254,"50",0.835526315789474,NA,NA,NA,NA,NA
Jan 2024,"England","Breast","Screening",1433,1008,"425",0.703419399860433,NA,NA,NA,NA,NA
Jan 2024,"England","Breast","Urgent Suspected Cancer",2349,1499,"850",0.638143891017454,NA,NA,NA,NA,NA
Feb 2024,"England","Breast","ALL ROUTES",3842,2651,"1191",0.690005205622072,0.85,"was NOT met",614.7,"Nov 2020","8th"
Feb 2024,"England","Breast","Breast Symptomatic",109,74,"35",0.678899082568807,NA,NA,NA,NA,NA
Feb 2024,"England","Breast","Consultant Upgrade",318,261,"57",0.820754716981132,NA,NA,NA,NA,NA
Feb 2024,"England","Breast","Screening",1272,869,"403",0.683176100628931,NA,NA,NA,NA,NA
Feb 2024,"England","Breast","Urgent Suspected Cancer",2143,1447,"696",0.675221651889874,NA,NA,NA,NA,NA
Mar 2024,"England","Breast","ALL ROUTES",3886,2948,"938",0.758620689655172,0.85,"was NOT met",355.1,"Nov 2020","33rd"
Mar 2024,"England","Breast","Breast Symptomatic",109,83,"26",0.761467889908257,NA,NA,NA,NA,NA
Mar 2024,"England","Breast","Consultant Upgrade",330,281,"49",0.851515151515152,NA,NA,NA,NA,NA
Mar 2024,"England","Breast","Screening",1214,964,"250",0.794069192751236,NA,NA,NA,NA,NA
Mar 2024,"England","Breast","Urgent Suspected Cancer",2233,1620,"613",0.725481415136588,NA,NA,NA,NA,NA
Apr 2024,"England","Breast","ALL ROUTES",4128,2947,"1181",0.71390503875969,0.85,"was NOT met",561.8,"Nov 2020","19th"
Apr 2024,"England","Breast","Breast Symptomatic",113,81,"32",0.716814159292035,NA,NA,NA,NA,NA
Apr 2024,"England","Breast","Consultant Upgrade",355,290,"65",0.816901408450704,NA,NA,NA,NA,NA
Apr 2024,"England","Breast","Screening",1345,1012,"333",0.752416356877323,NA,NA,NA,NA,NA
Apr 2024,"England","Breast","Urgent Suspected Cancer",2315,1564,"751",0.675593952483801,NA,NA,NA,NA,NA
May 2024,"England","Breast","ALL ROUTES",4227,3002,"1225",0.710196356754199,0.85,"was NOT met",590.95,"Nov 2020","17th"
May 2024,"England","Breast","Breast Symptomatic",131,88,"43",0.67175572519084,NA,NA,NA,NA,NA
May 2024,"England","Breast","Consultant Upgrade",320,272,"48",0.85,NA,NA,NA,NA,NA
May 2024,"England","Breast","Screening",1456,1096,"360",0.752747252747253,NA,NA,NA,NA,NA
May 2024,"England","Breast","Urgent Suspected Cancer",2320,1546,"774",0.666379310344828,NA,NA,NA,NA,NA
Jun 2024,"England","Breast","ALL ROUTES",3980,2857,"1123",0.7178391959799,0.85,"was NOT met",526,"Nov 2020","22nd"
Jun 2024,"England","Breast","Breast Symptomatic",116,75,"41",0.646551724137931,NA,NA,NA,NA,NA
Jun 2024,"England","Breast","Consultant Upgrade",327,275,"52",0.840978593272171,NA,NA,NA,NA,NA
Jun 2024,"England","Breast","Screening",1347,1025,"322",0.760950259836674,NA,NA,NA,NA,NA
Jun 2024,"England","Breast","Urgent Suspected Cancer",2190,1482,"708",0.676712328767123,NA,NA,NA,NA,NA
